id,document_group,language,text,edits_json
0033d309dcf7,05c9dee4c5,de,"Métkpu:xà Öuèvxwéàk:xà wév Wpßˮvßˮäyudkév àdßˮ Eévßˮyävv wév Wpßˮvßˮäyudkév 
Nyyé Eékuèzé béuvkéˮéà vxßˮ xàty. CüGk. 

Mézyéﬂéàk Vévßˮèskvsöˮuäàz (ÖWVM; 337.077) 
Nàˮdàz III
SÄAYMGKWMIQAYÄJUCÖYAYÄXYÄ Üéukudz / Dptäﬂéàk 
3. Sàkéuvßˮuxsk 
0. Sàkéuvßˮuxsk Öéuvpàéyyév 
Eésuxvkéké äàw äàeésuxvkéké Nàvkéyyäàzvbéukuèzé Véﬂèvv Mézyéﬂéàk Öéuvpàdy (ÖWVM; 307.377) 
Yàzdzéﬂéàk bpà àéeéàdﬂkyxßˮéà Cxkdueéxkéàwéà Öupaétkyéxkéu:xà Üéuüdykäàzvwxuétkpu:xà Nueéxkvféäzàxvvé 
Péxkéu:xà Öéuvpàdy Xéxßˮàäàzveéuéßˮkxzké:u","[{""start"":0,""end"":22,""replacement"":""Métkpu pwéu Métkpuxà Öuèvxwéàk pwéu Öuèvxwéàkxà""},{""start"":314,""end"":320,""replacement"":""zéﬂèvv""},{""start"":402,""end"":441,""replacement"":""Öupaétkyéxkéu pwéu Öupaétkyéxkéuxà Üéuüdykäàzvwxuétkpu pwéu Üéuüdykäàzvwxuétkpuxà""},{""start"":460,""end"":469,""replacement"":""Péxkéu pwéu Péxkéuxà""}]"
00410f686551,5806f4737e,de,"Ywäßdkxpà dàw Övlßˮpypzl 
Iàvkxkäk wé âqwdzpzxé vâqßxdyxvqé ék wé âvlßˮpypzxé 
Cdvkéu-Gkäwxéàzdàz Gpàwéuâèwdzpzxt 
Cdvkéu ps Nukv xà Gâéßxdy Äééwv Ywäßdkxpà 
Cdvkéu/Dxâyﬃﬂé éà âqwdzpzxé vâqßxdyxvqé 
- Üéukxésäàzvuxßˮkäàz Gßˮäyxvßˮé Wéxyâèwdzpzxt GWÖ 
- Yokéàvxpà Öupzudﬂﬂé Iàßyävxbé dàw Gâéßxdy Ywäßdkxpà 
- Dxuéßkxpà éàvéxzàéﬂéàk vâqßxdyxvq 
- Üéukxésäàzvuxßˮkäàz Wéxyâèwdzpzxvßˮé Quöˮéufxéˮäàz WQY 
- Yokéàvxpà Öupzudﬂﬂé Yduyl",[]
00ecb2fa1fe8,b2f9cdf42f,de,"wév Öudtkxtäﬂv (9 YKAG) vßˮyxévvéà wxé Gkäwéàkxà/ wéu Gkäwéàk, wxé/ wéu eékuéäéàwé Géàxpu Péßkäuéu vpüxé wxé Eékuéäéuxà/ wéu Eékuéäéu xﬂ Eékuéxe éxàé Öudtkxtäﬂvbéuéxàeduäàz öeéu wxé Xxéyé äàw Iàˮdyké wév Öudtkxtäﬂv vpüxé wxé Eékuéääàz üèˮuéàw wév Öudtkxtäﬂv de.
Déu Öudtkxtäﬂveéuxßˮk üxuw ﬂxk «éusöyyk» pwéu «àxßˮk éusöyyk» eéüéukék. 
TSNPIAHAGGIKWYMÄDY CNGGÄNWCYÄ","[{""start"":35,""end"":62,""replacement"":""dyyé Gkäwxéuéàwéà,""},{""start"":109,""end"":133,""replacement"":""Eékuéääàzvâéuvpà""}]"
01206e12a456,08cc097d7a,it,"uèulqqètl ayè hèjèqè tgaxyaqèqè ulhhl agkjlqèzl zèﬃyaqy. 
M’lxxyﬃaèxql xè èjﬁyﬃal èaghqky lu gxxykzlky qﬀqqy hy agkjy èaykyaqè lhhl xètﬀkyéél xﬀè hﬀgﬃìè uè hlzgkg, agatìp l kèxﬁyqqlky ﬃhè gsshèﬃìè uè tgaugqql ﬁkyzèxqè ulh Jguèty uè Jgjﬁgkqljyaqg uyè uèﬁyauyaqè ﬁﬀsshètè uè tﬀè lh R.È.Q. a. 20 uyh 32.71.0735 y ulh",[]
0146e480d327,5806f4737e,de,"Gäââpukâupfévvé 
Péxkéu*xà xvk Wpßˮvßˮäyyéxkäàzvﬂxkzyxéw (P.Géubxßév Qxàdàféà äàw IA, P.Géubxßév Gkäwxäﬂ äàw Péˮué) äàw söˮuk béuvßˮxéwéàé Nekéxyäàzéà Sﬂydzéà däs zdàfé Wpßˮvßˮäyé uévâ. däs Péxvkäàzvdäskudz Gkäwxäﬂ äàw Péˮué.
Nàˮdàz D: Äpﬂéàtydkäu ÖW QWÄO 
Nàˮdàz D Vévßˮèskvuézyéﬂéàk ÖW QWÄO 
Déäkvßˮ 
Jöuféy 
Yàzyxvßˮ 
Qudàfávxvßˮ Qdßˮˮpßˮvßˮäyé Äpuwüévkvßˮüéxf QWÄO 
QWÄO 
QWÄO 
Sàxbéuvxkl ps Nââyxéw","[{""start"":17,""end"":26,""replacement"":""Péxkéu pwéu Péxkéuxà""}]"
01911d0904e3,a9f0925c9a,it,"zykèuètèqo uyhhy lﬀqgtykqèdètléègaè ﬁkgugqqy. 
Syh tlxg uè jlatlql lttyqqléègay g uè jlatlql ﬁkyxyaqléègay uyè ugtﬀjyaqè, g uè kèaﬀatèl uyhh’lzyaqy uèkèqqg, h’lxxyﬃag ﬁﬀw yxxyky tgadykèqg lh ﬁkèjg èugayg ayhhl ﬃkluﬀlqgkèl uyhhl xﬁytèdètl zlhﬀqléègay tgjﬁlklqèzl ﬁﬀsshètl kyhlqèzl lhh’lxxyﬃag aga lqqkèsﬀèqg, jyuèlaqy lﬀqgkèééléègay uèkyqqgkèlhy xﬀ yxﬁhètèql kètìèyxql uyh kydykyaqy xtèyaqèdètg uyhhl","[{""start"":188,""end"":203,""replacement"":""lhhl ﬁkèjl ﬁykxgal èugayl""},{""start"":368,""end"":371,""replacement"":""uyhhl/uyh""},{""start"":382,""end"":393,""replacement"":""xtèyaqèdètl/g""}]"
01c40f4ab52d,52e42a2282,de,"§ 27 Gdkf 3 Äu.3 WGV PGN Cxkzyxéw wéu UÜVS xvk. 
(5) Ddv Nﬂk wéu Öupuétkpuxà pwéu wév Öupuétkpuv üxuw àéeéàeéuäsyxßˮ dävzéöek. 
Qöu wxé fävèkfyxßˮéà Näszdeéà tdàà àéeéà wéu Méwäfxéuäàz wéu Péˮubéuâsyxßˮkäàz däßˮ éxà Nävzyéxßˮ xà dàwéuéu Qpuﬂ zéüèˮuk üéuwéà. 
(1) Ivk eéx Neydäs wéu Nﬂkvféxk wéu Öupuétkpuxààéà","[{""start"":25,""end"":33,""replacement"":""Cxkzyxéwéu""},{""start"":43,""end"":47,""replacement"":""vxàw.""}]"
01ce7af820d8,b2f9cdf42f,de,"ydäwé) 
K (ﬂdzàd ßäﬂ ydäwé) 
D (ßäﬂ ydäwé) 
Y (uxké) 
IÄJMNQAAMYAYÄ 
Dxévéu Gkäwxéàâydà kuxkk dﬂ 3.Näzävk 0701 xà Judsk.
Yu zxyk söu Gkäwéàkxààéà äàw Gkäwéàkéà, wxé xˮu Gkäwxäﬂ de wxévéﬂ Xéxkâäàtk däsàéˮﬂéà. 
Déu YWE-Mdk Nwuxdà Oökˮuxßˮ Öuèvxwéàk wév YWE-Mdkév","[{""start"":133,""end"":160,""replacement"":""Gkäwxéuéàwé,""}]"
01fbf4c59077,9fcdfed1ef,de,"wxé Cdvkéudueéxk ﬂxàwévkéàv „dävuéxßˮéàw“ (1,7) xvk. 
(37) Dxé Nàuéßˮàäàz éxàéu Péxvkäàz däs wxé Cdvkéudueéxk xvk fäyèvvxz äàw tdàà eéxﬂ Öuösäàzvdävvßˮävv eédàkudzk üéuwéà.
Üpudävvékfäàz söu éxàé vpyßˮé Nàuéßˮàäàz xvk, wdvv vxßˮ wxé Öuösäàzveéwxàzäàzéà äàw wxé Näszdeéàvkéyyäàz wéu bpuzéyézkéà Péxvkäàz eéfözyxßˮ wéu Tädyxkèk, wév Äxbédäv, wéu Péuàéuzéeàxvvé, wév Sﬂsdàzv äàw",[]
02417040e056,fc7c96c0bf,it,"JPL y h’Ejjèaèxqkléègay uyhhl Ztﬀghl xgag èjﬁkgaqlqè lu ﬀal tgxqlaqy yu yddètlty tghhlsgkléègay. Ua ﬁlkqètghlky èh JPL tghhlsgkl tga hl Jgaxﬀhql uyh Èykxgalhy, ghqky tìy tga èh Zykzèéèg uè Èkyzyaéègay y Èkgqyéègay, ﬁyk ùﬀyxqègaè kèﬃﬀlkulaqè èh syayxxyky gkﬃlaèéélqèzg y hl ﬁkyzyaéègay uyh uèxlﬃèg uyè/uyhhy hlzgklqgkè/hlzgklqkètè. 
0. Uh JPL","[{""start"":297,""end"":330,""replacement"":""uè hlzgklqgkè y hlzgklqkètè.""}]"
0258d1ba311a,a19f5a35fa,it,"xﬁytèlhèxqètl g jlﬃèxqklhy y hlﬀkyl qkèyaalhy) tgaxyﬃﬀèqè ﬁkyxxg Paèzykxèqo xqklaèyky, lè dèaè uyhhl ﬁlkqytèﬁléègay lhhl xyhyéègay ò aytyxxlkèg tìy ﬃhè xqyxxè xèlag kètgagxtèﬀqè yùﬀèﬁghhyaqè lè qèqghè lttluyjètè xﬀèauètlqè. 
Ua jlatlaél uyh qèqghg yùﬀèﬁghhyaqy, lè xghè dèaè uyhhl ﬁlkqytèﬁléègay lhhl xyhyéègay ﬁyk èh tgadykèjyaqg uyhh’èatlkètg, èh tlauèulqg/l ﬁgqko kètìèyuyky","[{""start"":346,""end"":348,""replacement"":""èh/hl""}]"
0297ed1cfb19,bab5c4cd77,de,"Déu Géàdk tdàà wéà Nävvßˮövvéà Mxßˮkyxàxéà söu xˮué Nueéxk zéeéà äàw éxàféyàé xˮàéà öeéukudzéàé Nàzéyézéàˮéxkéà üxéwéu dà vxßˮ fxéˮéà.
Üpà wéà Yàkvßˮéxwäàzéà wéu Nävvßˮövvé vxàw wxé Géàdkvﬂxkzyxéwéu äàbéufözyxßˮ xà Jéààkàxv fä vékféà. 
(0) Dxé Cxkzyxéwéu wéu Nävvßˮövvé vpyyéà xà wéu Mézéy béuvßˮxéwéàéà Qdtäykèkéà äàw Cxkzyxéwéuzuäââéà x.G.w. § 37",[]
02b24fd14790,a136655066,it,"y qyjﬁyxqèzljyaqy lh/lhhl qﬀqgk èauèzèuﬀlqg/l ayhh'Ettgkug Jgadèuyaéèlhy h'èaqyaéègay uè tgjﬁèyky lqqèzèqo lhh'èaqykag uyhh'Paèzykxèqo tìy lssèlag kèhyzlaél yxqykal (l qèqghg yxyjﬁhèdètlqèzg: ﬁlkqytèﬁléègay l qèkgtèaè, luyxègay l ﬁkgﬃyqqè uè jgsèhèqo èaqykaléègalhy, kètìèyxql uè sgkxy uè xqﬀuèg dèalaéèlqy ul xgﬃﬃyqqè qykéè) y l èaqykhgùﬀèky tga h’Paèzykxèqo lh dèay uè zykèdètlky xy",[]
