id,masked_docstring,t5_pred,target_span,t5_seq_logprob,t5_f
docgap_b3bc8e5ce986204b,Verifies that the challenge is a Bearer challenge [GAP] key = value pairs.,. Bearer,and returns the,-0.5260423421859741,0.12962962962962965
docgap_8762a4bdf8193865,Wrap file generation in a transaction [GAP] if finishes.,",",moving to output,-0.7636431455612183,0.0
docgap_14050f71861393f9,Filter [GAP] which a specific number of points is less than threshold.,"_defragment(self, threshold, mode='include'",the data for,-0.04223714396357536,0.08
docgap_bf474702636f53db,Return a [GAP] representing this model.,model,json dictionary,-0.4262659549713135,0.044444444444444446
docgap_dbc835e2cf25867f,Extends with a list and [GAP]-order,a list and a list and a list and a list,a z,-0.6025592684745789,0.02666666666666666
docgap_fd00d5d3144856b8,Returns the residue number [GAP] Pybel or OpenBabel atom.,of the,of an,-0.592989444732666,0.3333333333333333
docgap_a10ad08dccfe56dd,Utility function to summarize provenance [GAP] a Cohort.,in,files for,-0.7357099056243896,0.047619047619047616
docgap_369d9bf1d5bbc5f3,Sanitize the current settings of [GAP]-Reply message.,the,the Map,-0.5453610420227051,0.3636363636363636
docgap_fc944f4452da2cb6,Convert a string of roman [GAP] integer.,_to_int(roman_string): return value,numbers into an,-0.148903951048851,0.14074074074074075
docgap_72dba91b3e0a5133,Flushes the [GAP] tables and sequences.,"self, style,",given database,-0.4591582417488098,0.09523809523809525
docgap_d2a89781e42529cf,Remove Padding with zeroes + last byte equal [GAP] number of padding bytes,to the,to the,-0.7461610436439514,1.0
docgap_97a796c14cc1b2b8,Get the raw SOAP [GAP] a request.,as,XML for,-1.110003113746643,0.0
docgap_b0b5bfe0777730d8,List all the filesystems [GAP] system.,in the file,mounted on the,-0.9990594983100891,0.2833333333333333
docgap_fce8987736002442,Register [GAP] class to the frontend.,_frontend_media(request):. Register_front,a Media,-0.2025819569826126,0.08527131782945736
docgap_e27f933a0097743f,Helper function for taking an integer and [GAP] a hex string.,converting,returning,-1.2237998247146606,0.23809523809523808
docgap_b4f7b5e19d246704,Reset our HEAD to the given commit optionally [GAP] and working tree.,to the given commit,synchronizing the index,-0.9133687019348145,0.1981981981981982
docgap_8cf227eca4d7f0d2,Loads [GAP] into a private key object.,are converted,a private key,-0.5213501453399658,0.14285714285714285
docgap_54beef51d2d5bc34,Parse the [GAP] command into a dictionary.,pse,NAME_IMPORT,-0.7619448304176331,0.0
docgap_f45864d5917d0821,A simple anomaly detection using Seasonal Hybrid [GAP] Tests for a series of anomalies.,Hybrid,ESD,-0.5544258952140808,0.0
docgap_6969b5208ea8c30a,Returns the TensorFlow expression [GAP] error of two target distribution.,of the,of the absolute difference,-0.6543840765953064,0.25925925925925924
docgap_4670fc9efe7051b9,GET peering entries [GAP] the currency network,in,of every node inside,-0.39117130637168884,0.05555555555555556
docgap_8d34aa41ba93cb19,Return the most appropriate text [GAP] a given message.,to,processor that can handle,-0.7503215074539185,0.028985507246376812
docgap_a05f59f62e5be25d,Returns a subsequence from [GAP] specified indices.,_.__class__ for index in,given tuple omitting,-0.3832364082336426,0.08547008547008547
docgap_42562e730d062490,Set the [GAP] bounds of the named parameter.,parameters to the,value and,-1.0401852130889893,0.06349206349206349
docgap_08b93e8d4327b43e,Sorts the [GAP] by a column or row or list of labels.,labels,DataFrame,-0.50155109167099,0.06666666666666667
docgap_d4cabede1064fde0,Returns [GAP] guess of intended case.,a,the best,-0.46513307094573975,0.0
docgap_6db4523fc7d96a59,Converts negative indices to positive ones and [GAP] length-1 depending on lengthAllowed.,returns,indices above length to,-0.9579629302024841,0.05333333333333334
docgap_afdec27d17b1a899,Browserify one or more library directories into a single javascript file. Generates source maps [GAP] Minifies the output in release mode.,.,in debug mode,-0.6785523295402527,0.0
docgap_a418299d1ddc2b2d,Read a [GAP] a list of SquadExample objects.,list of SquadExample objects and,SQuAD json file into,-0.3767451345920563,0.12765957446808512
docgap_12a2bd2e822950fb,returns a list of dicts that are [GAP] two dicts,dicts that are,used to compare,-0.7448240518569946,0.18055555555555558
