sample_id,target_sequence
tw_00001,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00003,type_elaboration parent_root type_question parent_n00 type_answer parent_n06
tw_00004,type_answer parent_root type_question parent_n00 type_answer parent_n05
tw_00006,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00012,type_question parent_n00 type_answer parent_n02 type_appreciation parent_n03
tw_00014,type_question parent_n02 type_answer parent_n03 type_elaboration parent_n04
tw_00017,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00018,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00020,type_answer parent_root type_question parent_n01 type_answer parent_n02 type_appreciation parent_n04
tw_00021,type_elaboration parent_n02 type_agreement parent_n03 type_appreciation parent_n04
tw_00028,type_question parent_root type_answer parent_n01 type_agreement parent_n03
tw_00030,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00032,type_question parent_n02 type_answer parent_n03 type_agreement parent_n04
tw_00033,type_question parent_n00 type_answer parent_n01 type_agreement parent_n02
tw_00042,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00043,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00045,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00046,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n04 type_agreement parent_n05
tw_00049,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00054,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00057,type_answer parent_root type_question parent_n00 type_answer parent_n05
tw_00060,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n03
tw_00061,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n02 type_question parent_n04
tw_00062,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00065,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00068,type_question parent_n02 type_answer parent_n03 type_elaboration parent_n04
tw_00070,type_answer parent_n00 type_answer parent_n02 type_question parent_n03
tw_00075,type_answer parent_n00 type_elaboration parent_n02 type_question parent_n03
tw_00078,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00082,type_elaboration parent_n00 type_elaboration parent_n01 type_agreement parent_n04
tw_00083,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00087,type_answer parent_n00 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00100,type_elaboration parent_n02 type_elaboration parent_n03 type_question parent_n04
tw_00101,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00102,type_answer parent_n00 type_elaboration parent_n01 type_answer parent_n02
tw_00108,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_question parent_n04
tw_00109,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03
tw_00111,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00117,type_question parent_n00 type_answer parent_n02 type_question parent_n03
tw_00120,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00126,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_00127,type_answer parent_n00 type_answer parent_n03 type_question parent_n04
tw_00143,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03
tw_00144,type_answer parent_root type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00145,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00159,type_elaboration parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00168,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00171,type_answer parent_n00 type_appreciation parent_n01 type_answer parent_n02
tw_00173,type_answer parent_root type_elaboration parent_n03 type_answer parent_n04
tw_00175,type_elaboration parent_n01 type_elaboration parent_n03 type_appreciation parent_n04
tw_00177,type_answer parent_root type_elaboration parent_n04 type_agreement parent_n05
tw_00183,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00186,type_answer parent_n00 type_appreciation parent_n01 type_appreciation parent_n02
tw_00189,type_question parent_n00 type_answer parent_n01 type_question parent_n03
tw_00190,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00195,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00198,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00199,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00207,type_answer parent_n00 type_question parent_n02 type_answer parent_n03
tw_00212,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00213,type_answer parent_n00 type_elaboration parent_n01 type_agreement parent_n02
tw_00214,type_question parent_n00 type_answer parent_n01 type_agreement parent_n02
tw_00215,type_answer parent_n00 type_elaboration parent_n02 type_elaboration parent_n04
tw_00216,type_answer parent_root type_appreciation parent_n02 type_appreciation parent_n04
tw_00219,type_elaboration parent_root type_elaboration parent_n01 type_elaboration parent_n02 type_agreement parent_n05
tw_00220,type_answer parent_n00 type_elaboration parent_n01 type_question parent_n02
tw_00221,type_answer parent_n00 type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00224,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03 type_appreciation parent_n04
tw_00235,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00237,type_question parent_n02 type_answer parent_n03 type_elaboration parent_n04
tw_00240,type_answer parent_root type_question parent_n05 type_answer parent_n06
tw_00242,type_answer parent_root type_elaboration parent_n02 type_agreement parent_n04
tw_00245,type_question parent_root type_answer parent_n00 type_answer parent_n03 type_appreciation parent_n04
tw_00253,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n03 type_agreement parent_n04
tw_00257,type_answer parent_root type_elaboration parent_n03 type_appreciation parent_n04
tw_00260,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n06 type_agreement parent_n08
tw_00264,type_question parent_root type_answer parent_n03 type_appreciation parent_n04
tw_00269,type_answer parent_n00 type_elaboration parent_n03 type_agreement parent_n04
tw_00271,type_answer parent_n00 type_question parent_n03 type_answer parent_n04
tw_00275,type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00277,type_question parent_n00 type_answer parent_n01 type_answer parent_n02
tw_00285,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00288,type_question parent_root type_answer parent_n01 type_appreciation parent_n04
tw_00299,type_answer parent_n00 type_elaboration parent_n03 type_elaboration parent_n04
tw_00301,type_elaboration parent_root type_elaboration parent_n02 type_agreement parent_n04
tw_00302,type_question parent_root type_question parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_00308,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00310,type_answer parent_root type_elaboration parent_n03 type_appreciation parent_n04
tw_00319,type_answer parent_root type_elaboration parent_n01 type_elaboration parent_n02 type_agreement parent_n04
tw_00320,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00323,type_elaboration parent_n00 type_question parent_n03 type_answer parent_n04
tw_00325,type_answer parent_n00 type_appreciation parent_n02 type_appreciation parent_n03
tw_00328,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00334,type_question parent_n01 type_answer parent_n02 type_elaboration parent_n03
tw_00345,type_answer parent_root type_elaboration parent_n03 type_question parent_n04
tw_00346,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00354,type_answer parent_n00 type_elaboration parent_n01 type_elaboration parent_n02
tw_00355,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00356,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00358,type_answer parent_n02 type_elaboration parent_n03 type_appreciation parent_n04
tw_00359,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00360,type_answer parent_root type_appreciation parent_n03 type_appreciation parent_n04
tw_00367,type_answer parent_n00 type_elaboration parent_n01 type_answer parent_n02
tw_00372,type_answer parent_root type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00376,type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00378,type_answer parent_root type_elaboration parent_n00 type_elaboration parent_n04
tw_00384,type_elaboration parent_root type_elaboration parent_n00 type_elaboration parent_n04
tw_00390,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00398,type_elaboration parent_n00 type_elaboration parent_n03 type_appreciation parent_n04
tw_00400,type_question parent_n00 type_answer parent_n02 type_elaboration parent_n03
tw_00402,type_elaboration parent_n02 type_elaboration parent_n03 type_question parent_n04
tw_00408,type_question parent_n00 type_answer parent_n01 type_elaboration parent_n02 type_elaboration parent_n03
tw_00411,type_answer parent_n01 type_question parent_n02 type_answer parent_n03 type_question parent_n04
tw_00416,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00424,type_question parent_root type_answer parent_n03 type_appreciation parent_n04
tw_00428,type_answer parent_n00 type_question parent_n03 type_answer parent_n04
tw_00432,type_answer parent_root type_elaboration parent_n01 type_elaboration parent_n04
tw_00433,type_question parent_n00 type_answer parent_n01 type_appreciation parent_n02
tw_00438,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00439,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00440,type_answer parent_n00 type_elaboration parent_n03 type_answer parent_n04
tw_00443,type_answer parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00446,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00450,type_question parent_n02 type_answer parent_n03 type_appreciation parent_n04
tw_00451,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00454,type_answer parent_n00 type_elaboration parent_n01 type_appreciation parent_n02
tw_00458,type_answer parent_root type_elaboration parent_n03 type_agreement parent_n04
tw_00459,type_answer parent_n00 type_elaboration parent_n02 type_agreement parent_n03
tw_00461,type_elaboration parent_n01 type_elaboration parent_n02 type_elaboration parent_n03 type_agreement parent_n04
tw_00462,type_answer parent_root type_question parent_n00 type_answer parent_n04
tw_00468,type_question parent_root type_answer parent_n03 type_appreciation parent_n04
tw_00472,type_question parent_root type_answer parent_n03 type_question parent_n04
tw_00476,type_answer parent_root type_appreciation parent_n03 type_appreciation parent_n04
tw_00477,type_elaboration parent_n01 type_elaboration parent_n03 type_question parent_n04
tw_00479,type_answer parent_n00 type_question parent_n01 type_answer parent_n02
tw_00482,type_question parent_n01 type_answer parent_n02 type_appreciation parent_n03
tw_00488,type_answer parent_root type_elaboration parent_n03 type_elaboration parent_n04
tw_00492,type_answer parent_n00 type_question parent_n02 type_answer parent_n03
tw_00493,type_answer parent_root type_question parent_n03 type_answer parent_n04
tw_00502,type_answer parent_root type_elaboration parent_n02 type_appreciation parent_n04
